ID,TR,EN,DE,RU,GLUTEN,MILK,EGG,FISH
899,"ADAÇAYLI, FESLEĞENLİ HİNDİ GÖĞÜSÜ",BREAST OF TURKEY WITH SAGE & BASIL,TRUTHAHN-BRUST MIT BASILIKUM UND SALBEI,ГРУДИНКА ИНДЕЙКИ С ШАЛФЕЕМ,0,0,0,0
900,ADANA VE BEYTİ ŞİŞ,KEBAP 'ADANA',KEBAP 'ADANA',"КЕБАБ ""АДАНА""",0,0,0,0
901,AHTAPOT SALAT,OCTOPUS SALAD,OCTOPUS-SALAT,САЛАТ ИЗ ОСМИНОГА,0,0,0,0
902,AKDENİZ GARNİTÜRÜ,MIXED VEGETABLES,MISCH-GEMÜSE,САЛАТ ИЗ ОВОЩЕЙ,0,0,0,0
903,ALABALIK (BADEM SOSLU),TROUT (WITH ALMOND SAUCE),FORELLE (MIT MANDEL-SOSSE),ФОРЕЛЬ ( С МИНДАЛЕВЫМ СОУСОМ),0,0,0,0
904,ALABALIK FÜME,SMOKED TROUT,RÄUCHER-FORELLE,КОПЧЕНАЯ ФОРЕЛЬ ,0,0,0,0
905,ALABALIK IZGARA,GRILLED TROUT,GRILL-FORELLE,ЖАРЕННАЯ ФОРЕЛЬ,0,0,0,0
906,ALABALIK TAZE SOĞAN SALAT,TROUT WITH SPRING ONION,FORELLE MIT FRÜHLINGS-ZWIEBELN,ФОРЕЛЬ С ЛУКОМ ,0,0,0,0
907,ALİPAŞA PİLAVI,RICE 'ALI PASHA',REIS 'ALI PASCHA',"ПЛОВ "" АЛИПАША""",0,0,0,0
908,ALMAN CİĞER YEMEĞİ,LIVER GERMAN STYLE,LEBERKÄSE,НЕМЕЦКОЕ БЛЮДО ИЗ ПЕЧЕНИ,0,0,0,0
909,ALMAN PATATES SALATASI,GERMAN POTATO SALAD,KARTOFFEL SALAT,НЕМЕЦКИЙ КАРТОФЕЛЬНЫЙ САЛАТ ,0,0,0,0
910,HAWAİ USULÜ PATATES SALATASI,HAWAII STYLE POTATO SALAD,HAWAII STIL KARTOFFEL SALAT,КАРТОФЕЛЬНЫЙ САЛАТ ПО-ГАВАЙСКИ,0,0,0,0
911,ANÇUEZ,ANCHOVIES,ANCHOVIS,АНЧОУСЫ,0,0,0,0
912,ANÇUEZLİ PATATES,POTATOES WITH ANCHOVIES,KARTOFFELN MIT ANCHOVIS,КАРТОШКА С АНЧОУСАМИ,0,0,0,0
913,ANÇUEZLİ PATATES SALAT,POTATO SALAD WTH ANCHOVIES,KARTOFFEL-SALAT MIT ANCHOVIS,КАРТОФЕЛЬНЫЙ САЛАТ С АНЧОУСАМИ ,0,0,0,0
914,ANDULUS ÇORBASI,ANDALUSIAN SOUP,ANDALUSISCHE SUPPE,АНДУЛУССКИЙ СУП,0,0,0,0
915,ANTALYA PİYAZI,BEANS WITH SESAME OIL 'ANTALYA',BOHNEN MIT SESAM-ÖL 'ANTALYA',"ФАСОЛЬ С МАСЛОМ "" АНТАЛИЯ""",0,0,0,0
916,ANTEP EZME,PUREE OF MIXED VEGETABLES,PÜREE AUS GEMISCHTEM GEMÜSE,ПЮРЕ ИЗ ОВОЩЕЙ,0,0,0,0
917,ANTREKOT IZGARA,GRILLED SIRLOIN STEAK,ENTRECOTE VOM GRILL,ЖАРЕННЫЙ АНТРЕКОТ,0,0,0,0
918,ARAP KADAYIFI,ARABIC SWEET,ARABISCHER DESSERT,АРАБСКИЕ СЛАДОСТИ,0,0,0,0
919,ARMUT SALAT,PEAR SALAD,BIRNEN-SALAT,ГРУШЕВЫЙ САЛАТ,0,0,0,0
920,ARNAVUT CİĞERİ,ALBANIAN STYLE LIVER,LEBER,ПЕЧЕНКА,0,0,0,0
921,ARPA ŞEHRİYE ÇORBA,TOMATO & NOODLE SOUP,SUPPE MIT NUDELN UND TOMATEN,СУП ИЗ ЛАПШИ И ПОМИДОРОВ ,0,0,0,0
922,ARPA ŞEHRİYE PİLAV,RICE WITH BARLEY NOODLES,REIS MIT GERSTEN-NUDELN,ПЛОВ С ЯЧМЕННОЙ ЛАПШОЙ,0,0,0,0
923,AVCI BÖREĞİ,TURKISH PASTRY WITH CHEESE, 'BÖREK' MIT KÄSE,ЛЕПЕШКА С СЫРОМ,0,0,0,0
924,AVOKADO SALATASI,AVOCADO SALAD,AVOKADO-SALAT,"САЛАТ ""АВОКАДО""",0,0,0,0
925,AY BÖREĞİ SEBZE İLE DONDURULMUŞ,TURKISH PASTRY FILLED WITH VEGETABLES,GEFÜLLTES 'BÖREK' MIT GEMÜSE,ЛЕПЕШКА С ОВОЩАМИ,0,0,0,0
926,AYVA DİLİMİ PATATES,POTATO WEDGES,WILDE KARTOFFELN,КАРТОФЕЛЬ С АЙВОЙ,0,0,0,0
927,AYVA TATLISI,QUINCE,QUITTEN,СЛАДКАЯ АЙВА,0,0,0,0
928,B. PEYNİR GRETİNE IZGARA,GRATIN OF WHITE CHEESE,GRATIN AUS WEISSEM KÄSE,ГРАТИН С БЕЛЫМ СЫРОМ,0,0,0,0
929,"B. PEYNİR, FESLEĞEN, DOMATES, VINEGRET SOS","WHITE CHEESE, BASIL & TOMATOES WITH VINAGRETTE","WEISSER KÄSE, BASILIKUM, TOMATEN, VINAIGRETTE","БЕЛЫЙ СЫР,БАЗИЛИК ,ПОМИДОРЫ & ВИНЕГРЕТ",0,0,0,0
930,BABAGANUŞ,STUFFED PEPPERS,GEFÜLLTE PAPRIKA,ФАРШИРОВАННЫЙ ПЕРЕЦ,0,0,0,0
931,BABY PATATES,POTATOES,KARTOFFELN,КАРТОШКА  ,0,0,0,0
932,BADEMLİ ISPANAK,SPINACH WITH ALMOND,SPINAT MIT MANDELN,ШПИНАТ С МИНДАЛЕМ,0,0,0,0
933,BADEMLİ PİLAV,RICE WITH ALMONDS,REIS MIT MANDELN,ПЛОВ С МИНДАЛЕМ,0,0,0,0
934,BAKLA FAVA,PUREE OF BROAD BEANS,PÜRIERTE SAUBOHNEN,ПЮРЕ ИЗ ФАСОЛИ,0,0,0,0
935,BAKLAVA,SWEET PASTRY 'BAKLAVA',SÜSS-GEBÄCK 'BAKLAVA',ПАХЛАВА,0,0,0,0
936,BAL KABAĞI,PUMPKIN,KÜRBIS,ТЫКВА ,0,0,0,0
937,BAL KABAĞI SOTE,SAUTEED PUMPKIN,SAUTIERTER KÜRBIS,СОТЕ ИЗ ТЫКВЫ,0,0,0,0
938,BALIK BELLEVUE,FISH BELLEVUE,FISCH BELLEVUE,"РЫБА ""БЕЛЕВУ""",0,0,0,0
939,BALIK BENYE,FISH IN BATTER,FISCH IM TEIGMANTEL,РЫБА В ТЕСТЕ ,0,0,0,0
940,BALIK BUĞULAMA,STEAMED FISH,GEDÜNSTETER FISCH,ТУШЕНАЯ РЫБА ,0,0,0,0
941,BALIK ÇORBASI,FISH SOUP,FISCH-SUPPE,РЫБНЫЙ СУП,0,0,0,0
942,BALIK FİNGER,FISH FINGER,FISCH,РЫБНЫЕ ПАЛОЧКИ,0,0,0,0
943,BALIK GALANTİNE,GALANTINE OF FISH,FISCH-GALANTINE,ГАЛАНТИН ИЗ РЫБЫ,0,0,0,0
944,BALIK HAŞLAMA SEBZE,BOILED FISH WITH VEGETABLES,KOCH-FISCH MIT GEMÜSE,ВАРЕНАЯ РЫБА С ОВОЩАМИ,0,0,0,0
945,BALIK IZGARA,GRILLED FISH,FISCH VOM GRILL,ЖАРЕНАЯ РЫБА ,0,0,0,0
946,BALIK KÖFTESİ,FISH BALLS,FISCH-'KÖFTE',РЫБНЫЕ КОТЛЕТЫ,0,0,0,0
947,BALIK PATE,FISH PATE,FISCH-PASTETE,РЫБНЫЙ ПАШТЕТ,0,0,0,0
948,BALIK PİLAKİ,FISH WITH OLIVE OIL,FISCH MIT OLIVEN-ÖL,РЫБА С ОЛИВКОВЫМ МАСЛОМ,0,0,0,0
949,BALIK RULO,FISH ROULADE,FISCH-ROULADE,РЫБНЫЙ РУЛЕТ,0,0,0,0
950,BALIK SALAT,FISH SALAD,FISCH-SALAT,РЫБНЫЙ САЛАТ,0,0,0,0
951,BALIK SARMA,STUFFED FISH,GEFÜLLTER FISCH,РЫБНАЯ ДОЛМА,0,0,0,0
952,BALIK TERRİNE,TERRINE OF FISH,FISCH-TERRINE ,ТЕРИН ИЗ РЫБЫ,0,0,0,0
953,BALIK VE DANA,FISH AND BEEF,FISCH UND RINDFLEISCH,РЫБА И ГОВЯДИНА,0,0,0,0
954,BALIK VE TAVUK,FISH AND CHICKEN,FISCH UND HUHN,РЫБА И КУРИЦА,0,0,0,0
955,BALKABAĞI ÇORBASI (ÇÖREOTLU),PUMPKIN SOUP (WITH CUMIN),KÜRBIS-SUPPE (MIT KÜMMEL),СУП ИЗ ТЫКВЫ,0,0,0,0
956,BAMİ GORENG,BAMI GORENG,BAMI GORENG,"""БАМЫ ГОРЕНГ""",0,0,0,0
957,BARBUNYA,BEANS,BOHNEN,ФАСОЛЬ   ,0,0,0,0
958,BARBUNYA,STRIPED MULLET,MEERBARBE,ФАСОЛЬ,0,0,0,0
959,ZEYTİNYAĞLI BARBUNYA PİLAKİ,PILAKI OF BEANS (WITH OLIVE OIL),BOHNEN-PILAKI (MIT OLIVEN-ÖL),ФАСОЛЕВЫЕ ПИЛАКИ( С ОЛИВКОВЫМ МАСЛОМ),0,0,0,0
960,BARBUNYA SALAT,BEAN SALAD,BOHNEN-SALAT,ФАСОЛЕВЫЙ САЛАТ ,0,0,0,0
961,BENYA SOSLU BROKKOLİ,"BROCCOLI WITH ""BENYA"" SAUCE",BROKKOLI,БРОККОЛИ,0,0,0,0
962,BENYA SOSLU KARNABAHAR,CAULIFLOWER WITH 'BENYA' SAUCE,BLUMENKOHL IN 'BENYA'-SOSSE,"ЦВЕТНАЯ КАПУСТА С СОУСОМ "" БЕНЬЕ""",0,0,0,0
963,BENYE SOSLU KABAK KIZARTMA,FRIED COURGETTES,FRITTIERTE ZUCCHINI,"ЖАРЕНЫЕ КАБАЧКИ С СОУСОМ ""БЕНЬЕ""",0,0,0,0
964,BERNEZLİ BROKKOLİ,BROCCOLI WITH BEARNAISE SAUCE,BROKKOLI BERNAISE,"БРОККОЛИ С СОУСОМ "" БАРНЕЗИ""",0,0,0,0
965,BEYAZ LAHANA SALAT,WHITE CABBAGE SALAD,WEISSKOHL-SALAT,САЛАТ ИЗ БЕЛОЙ КАПУСТЫ,0,0,0,0
966,BEYİN SALAT,LAMB'S BRAIN SALAD,LAMMHIRN-SALAT,САЛАТ ИЗ МОЗГОВ ЯГНЕНКА,0,0,0,0
967,BEYİN SÖĞÜŞ,SLICED BRAIN,,МОЗГИ,0,0,0,0
968,BEZELYE ÇORBASI,PEA SOUP,ERBSENSUPPE,ГОРОХОВЫЙ СУП,0,0,0,0
969,BEZELYE PİLAKİ,PILAKI OF PEAS (WITH OLIVE OIL),ERBSEN-PILAKI (MIT OLIVEN-ÖL),ПИЛАКИ ИЗ ГОРОХА ( С ОЛИВКОВЫМ МАСЛОМ),0,0,0,0
970,BEZELYE PİLAV,RICE WITH PEAS,REIS MIT ERBSEN,ПЛОВ С ГОРОХОМ,0,0,0,0
971,BEZELYE PÜRE,PUREED PEAS,PÜRIERTE ERBSEN,ПЮРЕ ИЗ ГОРОХА,0,0,0,0
972,BEZELYE TERİNE,TERRINE OF PEAS,ERBSEN-TERRINE,ТЕРИН ИЗ ГОРОХА,0,0,0,0
973,BİBER DOLMA,STUFFED PEPPERS,FARCIERTE PFEFFERSCHOTE,ПЕРЕЦ ФАРШИРОВАННЫЙ,0,0,0,0
974,BİBER TARATOR,TARATOR OF PEPPERS,PAPRIKA-TARATOR,"ПЕРЕЦ ""ТАРАТОР""",0,0,0,0
975,BİBERLİ HİNDİ BUDU SOTE,SAUTEED TURKEY WITH PEPPERS,SAUTIERTER TRUTHAHN,РАГУ ИЗ ИНДЕЙКИ С ПЕРЦЕМ,0,0,0,0
976,BILDIRCIN,QUAIL,WACHTEL,ПЕРЕПЕЛКА ,0,0,0,0
977,BİLLUR KEBAP,"""BILLUR"" KEBAB",LAMMHODEN,"ШАШЛЫК ""БИЛЛУР""",0,0,0,0
978,BİLLUR KEBAP SOTE,"SAUTEED ""B ILLUR"" KEBAB",SAUTIERTE LAMMHODEN,"РАГУ ""БИЛЛУР""",0,0,0,0
979,BİNBİRADA,COCKTAIL SAUCE,COCKTAIL-SOSSE,"СОУС ""1000 ОСТРОВОВ""",0,0,0,0
980,BONFİRİT,CHIPS,POMMES FRITES,ЧИПСЫ,0,0,0,0
981,BORCH ÇORBASI,BORSCHT SOUP,BORSCHTSCH,БОРЩ,0,0,0,0
982,BÖBREK IZGARA,GRILLED KIDNEYS,NIERCHEN VOM GRILL,ПОЧКИ НА ГРИЛЕ,0,0,0,0
983,BÖBREK SOTE,SAUTEED KIDNEYS,SAUTIERTE NIEREN,РАГУ ИЗ ПОЧЕК,0,0,0,0
984,BÖRÜLCE SALATASI,SALAD WITH BEANS,BLACK EYED PEAS-SALAT,САЛАТ ИЗ ФАСОЛИ,0,0,0,0
985,BROKKOLI,BROCCOLI,BROKKOLI,БРОККОЛИ,0,0,0,0
986,BROKKOLİ ÇORBASI,BROCCOLI SOUP,BROKKOLI-SUPPE,СУП ИЗ БРОККОЛИ,0,0,0,0
987,BROKKOLİ SOTE,BROCCOLİ SAUTEED,SUTIERTE BROKKOLI,РАГУ ИЗ БРОККОЛИ,0,0,0,0
988,BROKOLİ SALAT,BROCCOLI SALAD,BROKKOLI-SALAT,САЛАТ ИЗ БРОККОЛИ,0,0,0,0
989,BROKOLİLİ TAVUK GALANTİNE,GALANTINE OF CHICKEN WITH BROCCOLI,GALANTINE VOM HUHN MIT BROKKOLI,ГАЛАНТИН ИЗ КУРИЦЫ И БРОККОЛИ,0,0,0,0
990,BRÜKSEL LAHANA,BRUSSEL SPROUTS,ROSENKOHL,БРЮССЕЛЬСКАЯ КАПУСТА,0,0,0,0
991,BUDAPEŞTE ET SALAT,MEAT SALAD BUDAPEST,FLEISCH-SALAT BUDAPEST,БУДАПЕШТСКИЙ МЯСНОЙ САЛАТ ,0,0,0,0
992,BUĞDAY ÇORBASI DANA ETLİ,WHEAT SOUP WITH BEEF,WEIZENSUPPE MIT FLEISCHEINLAGE,ПШЕНИЧНЫЙ СУП С МЯСОМ ЯГНЕНКА,0,0,0,0
993,BUHARA PİLAVI,STEAMED RICE,REIS 'BUHARA',"РИС ""БУХАРА""",0,0,0,0
994,BULGUR SALAT,CRACKED WHEAT SALAD,WEIZEN-SALAT,ПШЕНИЧНЫЙ САЛАТ ,0,0,0,0
995,BURGU MAKARNA BOLONEZ,PAST SPIRALS WITH BOLOGNESE SAUCE,NUDELN BOLOGNESE,МАКАРОНЫ БОЛОНЕЗ,0,0,0,0
996,BURGU MAKARNA GORGONZOLA,PASTA SPIRALS WITH GORGONZOLA,NUDELN MIT GORGONZOLA,МАКАРОНЫ С ГОРГОНЗОЛОЙ,0,0,0,0
997,BUYABEZE,FRENCH FISH SOUP,FRANZÖSISCHE FISCH-SUPPE,ФРАНЦУЗСКИЙ РЫБНЫЙ САЛАТ ,0,0,0,0
998,BRÜKSEL LAHANA,BRUSSEL SPROUTS,ROSENKOHL,БРЮССЕЛЬСКАЯ КАПУСТА,0,0,0,0
999,CACIK,"YOGURT, CUCUMBER & GARLIC SAUCE",CACIK,ОКРОШКА,0,0,0,0
1000,CARPACCIO,CARPACCIO,CARPACCIO,КАРПАЧО,0,0,0,0
1001,CHILI CON CARNE,CHILI CON CARNE,CHILI CON CARNE,ЧИЛЛИ КОРН КАРНИ,0,0,0,0
1002,CİĞER IZGARA,GRILLED LIVER,GRILL-LEBER,ПЕЧЕНЬ НА ГРИЛЕ,0,0,0,0
1003,CİĞER KÖFTELİ ÇORBA,LIVER MEAT BALL SOUP,SUPPE MIT LEBER-'KÖFTE',СУП С ФРИКАДЕЛЬКАМИ ИЗ ПЕЧЕНИ,0,0,0,0
1004,CİĞER KÖFTESİ,LIVER MEAT BALLS,LEBER-BÄLLCHEN,ФРИКАДЕЛЬКИ ИЗ ПЕЧЕНИ,0,0,0,0
1005,CİĞER PARFAIT,PARFAIT OF LIVER,LEBER-PARFAIT,"ПЕЧЕНЬ ""ПАРФАИТ""",0,0,0,0
1006,CİĞER PATE,LIVER PATE,LEBER-PASTETE,ПИРОГ С ПЕЧЕНЬЮ ,0,0,0,0
1007,CİĞER SALAT ELMALI,LIVER SALAD WITH APPLE,LEBER-SALAT,САЛАТ ИЗ ПЕЧЕНИ С ЯБЛОКАМИ,0,0,0,0
1008,CİĞER SOTE,SAUTEED LIVER,SAUTIERTE LEBER,РАГУ ИЗ ПЕЧЕНИ,0,0,0,0
1009,CİĞER ŞİŞ ELMALI,LIVER ON SKEWERS WITH APPLE,LEBER-SPIESSCHEN MIT APFEL,ПЕЧЕНКА НА ШАМПУРЕ С ЯБЛОКАМИ,0,0,0,0
1010,CİĞER TAVA,PAN FRIED LIVER,GEBRATENE LEBER,ЖАРЕНАЯ ПЕЧЕНЬ,0,0,0,0
1011,CİĞERLİ PİLAV SALAT,SALAD OF RICE WITH LIVER,SALAT AUS REIS MIT LEBER,САЛАТ С ПЕЧЕНЬЮ И С РИСОМ,0,0,0,0
1012,CİNBİBERİ SALAT,PEPPERONI SALAD,PEPPERONI-SALAT,САЛАТ ИЗ ОСТРОГО ПЕРЦА,0,0,0,0
1013,ÇERKES TAVUĞU,CERKES CHICKEN,TSCHERKESS-HUHN,САЦИВИ,0,0,0,0
1014,ÇİFTLİK KEBABI,KEBAP' OF BEEF AND VEGETABLES,RINDER-'KEBAP' MIT GEMÜSE,"ШАШЛЫК ""ФЕРМЕРСКИЙ""",0,0,0,0
1015,ÇILBIR,EGGS WITH YOGURT,EIER MIT JOGHURT,ЯЙЦА В ЙОГУРТЕ,0,0,0,0
1016,ÇİN BÖREĞİ,SPRING ROLLS,FRÜHLINGS-ROLLEN,КИТАЙСКИЕ БЛИНЫ,0,0,0,0
1017,ÇİN PİLAVI,CHINESE RICE,CHINA-REIS,КИТАЙСКИЙ ПЛОВ,0,0,0,0
1018,ÇİN SALATASI,CHINESE SALAD,CHINA-SALAT,КИТАЙСКИЙ САЛАТ ,0,0,0,0
1019,ÇIPURA,SEA BREAM,GOLDBRASSEN,ЛЕЩ,0,0,0,0
1020,ÇÖP ŞİŞ,SHISH KEBAB,MEAT ON SKEWERS,ШАШЛЫК,0,0,0,0
1021,DANA DİL,BEEF TONGUE,RINDERZUNGE,ГОВЯЖИЙ ЯЗЫК,0,0,0,0
1022,DANA DİL SALATASI,BEEF TONGUE SALAD,SALAT AUS RINDER-ZUNGE,САЛАТ ИЗ ГОВЯЖЕГО ЯЗЫКА,0,0,0,0
1023,DANA DÖNER,BEEF DONER,RINDER-'DÖNER',ГОВЯДИНА НА ВЕРТЕЛЕ,0,0,0,0
1024,DANA ETİ FESLEĞEN SOS İLE,BEEF WITH BASIL SAUCE,RINDFLEISCH MIT BASILIKUM-SOSSE,ГОВЯДИНА С СОУСОМ ИЗ БАЗИЛИКА,0,0,0,0
1025,DANA GULAŞ,BEEF GOULASH,RINDER-GULASCH,ГОВЯЖИЙ ГУЛЯШ,0,0,0,0
1026,DANA HAŞLAMA,BOILED BEEF,RINDFLEISCH GEKOCHT,ВАРЕНАЯ ГОВЯДИНА ,0,0,0,0
1027,DANA JAMBONLU ERİŞTE,NOODLES WITH BEEF HAM,NUDELN MIT RINDER-SCHINKEN,ГОВЯЖИЙ ОКОРОК С МАКАРОНАМИ                                                                               ,0,0,0,0
1028,DANA PATE,BEEF PATE,RINDER-PASTETE,ПИРОГ С ГОВЯДИНОЙ,0,0,0,0
1029,DANA ROLADE,BEEF ROULADES,RINDER-ROULADEN,ГОВЯЖИЙ РУЛЕТ,0,0,0,0
1030,DANA ROSTO,ROAST BEEF,RINDERBRATEN,ЖАРКОЕ ИЗ ГОВЯДИНЫ ,0,0,0,0
1031,DANA ROULADE,ROULADES OF BEEF,RINDER-ROULADEN,РОЛЛЫ ИЗ ГОВЯДИНЫ,0,0,0,0
1032,DANA SARMA,ROLLED BEEF,RINDER-ROULADEN,ГОВЯЖИЙ РУЛЕТ,0,0,0,0
1033,DANA SOTE,SAUTE OF BEEF,SAUTIERTES RINDFLEISCH,РАГУ ИЗ ГОВЯДИНЫ ,0,0,0,0
1034,DANA MEKSİKA,MEXICAN STYLE BEEF ,MEXIKANISCHES BEEF,МЕКСИКАНСКОЕ ТЕЛЯТИНА,0,0,0,0
1035,DANA TERRINE,BEEF TERRINE,RINDER-TERRINE,ТЕРИН ИЗ ГОВЯДИНЫ,0,0,0,0
1036,DEFNE YAPRAĞI,BAY,LORBEER,ЛАВРОВЫЕ ЛИСТЬЯ,0,0,0,0
1037,DEFNE YAPRAĞI,BAY LEAVES,LORBEER-BLÄTTER,ЛАВРОВЫЕ ЛИСТЬЯ,0,0,0,0
1038,DEMIDOW SALAT,DEMIDOW SALAD,DEMIDOW SALAT,"САЛАТ ""ДЕМИДОВ""",0,0,0,0
1039,DENİZ MAHSÜLLERİ,SEAFOOD,MEERES-FRÜCHTE,МОРСКИЕ ФРУКТЫ ,0,0,0,0
1040,DENİZ MAHSÜLLERİ KREP,Seafood Pancake,CREPES MIT MEERES-FRÜCHTEN,БЛИНЫ С МОРЕПРОДУКТАМИ,0,0,0,0
1041,DEREOTLU KABAK ÇORBASI,COURGETTE SOUP WITH DILL,ZUCCHINI-SUPPE MIT DILL,СУП С УКРОПОМ И КАБАЧКАМИ,0,0,0,0
1042,DEREOTU KABAK SOTE,SAUTEeed COURGETTE WITH DILL,SAUTIERTE ZUCCHINI MIT DILL,РАГУ ИЗ УКРОПА И КАБАЧКОВ,0,0,0,0
1043,DIET YOGURT,DIET YOGURT,DIÄT-JOGURT,ДИЕТИЧЕСКИЙ ЙОГУРТ,0,0,0,0
1044,DİL,TONGUE,ZUNGE,ЯЗЫК,0,0,0,0
1045,DİL FÜME,SMOKED TONGUE,GERÄUCHERTE ZUNGE,КОПЧЕНЫЙ ЯЗЫК,0,0,0,0
1046,DİL FÜMELİ SALATA,SALAD OF SMOKED TONGUE,SALAT AUS RÄUCHER-ZUNGE,САЛАТ ИЗ КОПЧЕНОГО ЯЗЫКА,0,0,0,0
1047,DİLLİ MISIR SALAT,MAIZE SALAD WITH TONGUE,MAIS-SALAT MIT ZUNGE,САЛАТ С КУКУРУЗОЙ И КОПЧЕНЫМ ЯЗЫКОМ ,0,0,0,0
1048,DOMATES BİBER IZGARA,GRILLED TOMATOES/PEPPERS,GEGRILLTE TOMATEN/PAPRIKA,ЖАРЕНЫЕ ПОМИДОРЫ И ПЕРЕЦ,0,0,0,0
1049,DOMATES ÇORBA PİRİNÇLİ,TOMATO SOUP WITH RICE,TOMATEN-SUPPE MIT REIS,"ТОМАТНЫЙ, РИСОВЫЙ СУП",0,0,0,0
1050,DOMATES ÇORBASI,TOMATO SOUP,TOMATEN-SUPPE,ТОМАТНЫЙ СУП,0,0,0,0
1051,DOMATES SOSLU PATLICAN,AUBERGINES WITH TOMATO SAUCE,AUBERGINEN MIT TOMATEN-SOSSE,ДЕМЬЯНКА В ТОМАТНОМ СОУСЕ,0,0,0,0
1052,DOMATESLİ PİLAV,RICE WITH TOMATOES,REIS MIT TOMATEN,ПЛОВ С ПОМИДОРАМИ,0,0,0,0
1053,DOMUZ,PORK,SCHWEIN,СВИНИНА ,0,0,0,0
1054,DOMUZ STEAK ,PORK STEAK ,SCHWEINE-STEAK,ЖАРЕНАЯ СВИНИНА,0,0,0,0
1055,DÜĞÜN ÇORBASI, 'WEDDING SOUP', 'HOCHZEITS-SUPPE',"СУП ""СВАДЕБНЫЙ""",0,0,0,0
1056,DÜŞEŞ PATATES,Duchesse Potatoes,KARTOFFELN,КАРТОШКА,0,0,0,0
1057,EKMEK KADAYIFI,KADAIF,SÜSSE FADENNUDELN,ХЛЕБНЫЙ КАДАИФ,0,0,0,0
1058,EKŞİ TATLI SOSLU DANA ETİ,BEEF WITH SWEET SOUR SAUCE,RINDFLEISCH MIT SÜSS-SAURER SOSSE,ГОВЯДИНА СО СЛАДКО-КИСЛЫМ СОУСОМ,0,0,0,0
1059,EKŞİ TATLI SOSLU HİNDİ,TURKEY WITH SWEET SOUR SAUCE,TRUTHAHN MIT SÜSS-SAURER SOSSE,ИНДЮШКА СО СЛАДКО-КИСЛЫМ СОУСОМ,0,0,0,0
1060,ELMA TATLISI,DESSERT OF APPLE,APFEL-DESSERT,ЯБЛОЧНЫЙ ДЕСЕРТ,0,0,0,0
1061,ELMALI CİĞER SOTE,SAUTE OF LIVER WITH APPLE,SAUTIERTE LEBER MIT APFEL,СОТЕ ИЗ ПЕЧЕНИ С ЯБЛОКАМИ,0,0,0,0
1062,ELMALI KARİDES SALAT,SHRIMPS SALAD WITH APPLE,SHRIMPS-SALAT MIT SOJA,САЛАТ ИЗ КРИВЕТОК С ЯБЛОКАМИ,0,0,0,0
1063,ENGİNAR,ARTICHOKE,ARTISCHOCKE,АРТИШОК,0,0,0,0
1064,ENGİNAR DOLMASI ,STUFFED ARTICHOKES,GEFÜLLTE ARTISCHOCKE,ФАРШИРОВАНЫЙ АРТИШОК,0,0,0,0
1065,ENGİNAR KABUĞUNDA HUMUS, 'HUMUS' ON ARTICHOKE PEEL, 'HUMUS' AUF ARTISCHOCKEN,"""ХУМУС"" С АРТИШОКАМИ",0,0,0,0
1066,ESKALOP KARDON RUJ,ESCALOPE CORDON ROUGE,CORDON ROUGE,КОРДОН РУЖ,0,0,0,0
1067,ET SALATASI,MEAT SALAD,FLEISCH-SALAT,МЯСНОЙ САЛАТ,0,0,0,0
1068,ET SOTE,SAUTEED MEAT,FLEISCH-SAUTE,МЯСНОЕ РАГУ,0,0,0,0
1069,ETLİ BAMYA,OKRA PODS WITH MEAT,OKRA MIT FLEISCH,ОКРА С МЯСОМ,0,0,0,0
1070,ETLİ BEZELYE,PEAS WITH MEAT,ERBSEN MIT FLEISCH,ГОРОХ С МЯСОМ,0,0,0,0
1071,ETLİ KURU FASÜLYE,BEANS WITH MEAT,BOHNENSUPPE MIT FLEISCH-EINLAGE,ФАСОЛЕВЫЙ СОУС С МЯСОМ,0,0,0,0
1072,EV ERİŞTE ,HOME MADE NOODLES,HAUSMANNS NUDELN,ДОМАШНИЕ ЛЕПЕШКИ,0,0,0,0
1073,EZME SEBZE ÇORBASI,CREAM OF VEGETABLE SOUP,GEMÜSE-CREMESUPPE,СУП ИЗ РАЗМОЛОТЫХ ОВОЩЕЙ,0,0,0,0
1074,EZOGELİN ÇORBASI,LENTIL SOUP 'EZOGELIN',LINSENSUPPE 'EZOGELIN',"ЧЕЧЕВИЧНЫЙ СУП ""ЭЗОГЕЛИН""",0,0,0,0
1075,FASÜLYE,BEANS,BOHNEN,ФАСОЛЬ,0,0,0,0
1076,FASÜLYE BASTI,GREEN BEANS,GRÜNE BOHNEN,ЗЕЛЕНЫЙ ГОРОХ,0,0,0,0
1077,FASÜLYE PİLAKİ,BEANS PILAKI (WITH OLIVE OIL),BOHNEN-PILAKI (MIT OLIVEN-ÖL),САЛАТ ИЗ ЛОБИ (С ОЛИВКОВЫМ МАСЛОМ),0,0,0,0
1078,FASÜLYE SALAT,BEAN SALAD,BOHNEN-SALAT,САЛАТ ИЗ ФАСОЛИ,0,0,0,0
1079,FAVA,PUREE OF BROAD BEANS,PÜREE AUS SAUBOHNEN,ПЮРЕ ИЗ ФАСОЛИ,0,0,0,0
1080,FENER BALIĞI,ANGLERFISH,SEETEUFEL,РЫБА,0,0,0,0
1081,FESLEĞEN,BASIL,BASILIKUM,БАЗИЛИК,0,0,0,0
